,SOAP Vec. Elem. 0,SOAP Vec. Elem. 1,SOAP Vec. Elem. 2,SOAP Vec. Elem. 3,SOAP Vec. Elem. 4,SOAP Vec. Elem. 5,SOAP Vec. Elem. 6,SOAP Vec. Elem. 7,SOAP Vec. Elem. 8,Density (g/cm^3)
Al,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,2.720050205218786
Au,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,18.02564918288778
Ba,6.248189749717265,0.7066035200092919,0.07990931045461848,0.0,0.0,0.0,9.936422345723037e-08,3.867555892111325e-06,0.00015053696449450376,3.508308296137423
Be,9.730325186306512,1.7698564243793262,0.32192056307891836,6.175252807693744e-35,0.0,3.85953300480859e-36,0.0010076411981844184,0.00011360367845761388,1.857322696227261e-05,1.8826149211854062
Bi,6.336124332775546,1.4123752155596865,0.3148302723809469,2.412208128005369e-37,0.0,1.543813201923436e-35,8.907268277642552e-05,0.00012737398104369982,0.0016256938612848359,10.10913436840562
Ca,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,1.5348156230599654
Ce,6.3333422576226415,0.71346339823687,0.0803730478975848,0.0,0.0,0.0,8.056822283842505e-05,6.234124660419512e-05,4.8237765352713374e-05,9.15957786598274
Co,7.002216183950635,0.7513759464687041,0.08062673275151781,0.0,0.0,0.0,0.001883336279918528,0.00017308892902422445,1.5907821492213307e-05,9.197331638101419
Cr,6.832618910795119,0.7420852763823439,0.08059728847944417,0.0,0.0,0.0,0.0013566249679908956,0.00015961350705891953,1.8779303224366664e-05,6.5987767847843095
Cu,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,9.21899604714547
Dy,6.244981533636404,0.974118406616582,0.15194707382212028,1.635883333336974e-42,0.0,1.715348002137151e-36,2.3179990287143117e-15,-8.203313150203199e-09,0.02903122296717347,8.534150223057072
Fe,6.974968307406952,0.7498928638133251,0.08062248922349702,0.0,0.0,0.0,0.0017979604602314971,0.00017123024344759102,1.6307253090174298e-05,7.902858230744394
Ga,7.047147907136826,1.4983780458871325,0.31858800155490347,4.8244162560107376e-36,-2.8946497536064426e-36,5.065637068811274e-36,0.0008645331257191819,0.0006955436296309197,0.000718334707008168,6.0377632817938025
Gd,6.27395125115172,0.709509511539081,0.08023711482807816,0.0,0.0,0.0,1.2267487206088552e-05,2.982863625581662e-05,7.252891532996435e-05,7.703658969857579
Ge,6.246539284116587,0.6980801870652396,0.07801374895890985,0.0,0.0,0.0,2.6972553663472397e-14,-5.4185956197755075e-09,0.0010885576077437828,5.280205104250077
Hf,6.379138262235396,0.7162607917661511,0.08042301338075974,0.0,0.0,0.0,0.00015683437787571022,7.971896215359239e-05,4.052117279976883e-05,13.312731475593225
Ho,6.272379976401099,1.051740418038793,0.1763537781668475,2.2403831220883197e-37,-3.1693734570737205e-36,5.489113606838883e-35,1.098186074645388e-05,0.000132655102104579,0.0018331988587675255,8.809087656317923
I,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,4.703155668538265
Ir,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,22.30435361378471
La,6.271797811368027,1.4004528443497086,0.3127122761662163,6.40742784001426e-38,0.0,0.0,5.204356598525161e-06,0.00011595469127180212,0.0029462462958807227,6.139065892610489
Li,6.3576076379795685,1.062927620629649,0.17771073508028867,4.288370005342877e-37,0.0,5.489113606838883e-35,0.00010422743930848158,0.00032064284043742305,0.0011108776049766694,0.5649380290750841
Lu,6.304151837799502,0.7116031516699982,0.08032469053655103,0.0,0.0,0.0,4.168498491575962e-05,4.8456785229657404e-05,5.632867660953443e-05,9.954414453310173
Mn,9.673306069927772,12.566539090228881,16.325122307168932,2.9958420279893555e-35,-1.0103624094395474e-34,1.1654412908884079e-33,0.0006603435451970166,0.004981459999416822,0.03757883893358293,7.005220776836564
Mo,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,10.024908649125194
Nb,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,8.449671959986281
Nd,6.278260175024793,1.4018068665050902,0.312994752717947,1.5076300800033555e-38,-6.030520320013422e-38,4.1007538176091267e-36,7.415673477319679e-06,0.00013589578350641957,0.0028235885070250267,6.7543984670014945
Ni,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,9.289219853118466
Np,7.453470766149261,3.0792658088163676,1.2721426324509766,2.7981614284862277e-35,2.4122081280053687e-35,2.4122081280053687e-35,0.0005910703414029439,0.00027232958388875107,0.0007456903942827377,21.731678726830992
Os,6.690917280071691,0.7342030341442535,0.08056505151425994,0.0,0.0,0.0,0.0009332969519534211,0.00014391058371870534,2.219042509772613e-05,22.35969397190341
Pa,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,15.214974754898943
Pb,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,11.079630616255997
Pd,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,11.759025221988814
Pr,6.274081850405028,1.4008763838651301,0.3127875424105849,1.8845376000041944e-38,1.8091560960040266e-37,2.170987315204832e-36,6.007210546354788e-06,0.00012444880982787063,0.0029240981844727352,6.402452582008818
Pt,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,21.134925743724082
Pu,7.131672432556924,0.7583755096965398,0.0806449565857701,0.0,0.0,0.0,0.0022900117241222047,0.0001806307800552446,1.4247734349863536e-05,23.301184324297637
Re,6.621377935216192,0.730287578338239,0.08054516028131178,0.0,0.0,0.0,0.0007359743343114306,0.00013410031060897084,2.4434131011167728e-05,20.873419019375678
Rh,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,12.39797767429029
Ru,6.733950024745838,0.7366095583932531,0.0805758343204786,0.0,0.0,0.0,0.001059351282117997,0.00014921758995319338,2.1018419033696177e-05,12.384952650363955
Sb,6.246526895932742,0.7042743797504614,0.07940450913544546,0.0,0.0,0.0,3.778015312058314e-11,1.103378449313445e-07,0.00032224432720630303,6.430788363527963
Sc,6.331126341159674,0.7133250359817196,0.08036999730211015,0.0,0.0,0.0,7.731800149473909e-05,6.13817151951413e-05,4.873011313612141e-05,2.9845810382011435
Sm,6.285813993425943,1.4033632812559875,0.31331320036471183,7.915057920017616e-38,3.6183121920080532e-37,7.71906600961718e-36,1.024902380688121e-05,0.00015547879379708104,0.002672426486913012,7.386517949286526
Sn,6.246563819462032,0.693739283394577,0.0770462300929905,0.0,0.0,0.0,4.5697462773227714e-14,-9.176644043381814e-09,0.0018427893101380366,5.560776472065438
Ta,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,16.573164675563017
Tb,6.26815269171939,1.0509562375574326,0.17620965339915823,4.146146308342561e-39,-2.7807399253395223e-37,2.7445568034194415e-35,8.357650204715508e-06,0.00011834508102916476,0.0019189360756423333,8.181228660176853
Tc,6.663943801506027,0.732688363085831,0.08055773778885598,0.0,0.0,0.0,0.0008557236078436963,0.00014030072528560636,2.3003097419818584e-05,11.418493021249441
Th,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,11.986838818315015
Ti,6.8401860321553105,1.1120524200630006,0.18079341397361243,6.861392008548604e-36,-2.3150497450718192e-36,1.2099402104193597e-36,0.0005440525821899305,0.0001092494398393,3.15679520376693e-05,4.670172247408194
Tm,6.271191358189738,1.0517251633959013,0.17638208693402602,1.1390982826692019e-37,-8.040693760017896e-38,1.716018059950486e-35,1.0226741169122819e-05,0.00012735308894976845,0.001815347460234059,9.148413821847237
U,6.319541438478279,0.7125950578751551,0.08035262074812344,0.0,0.0,0.0,6.10893306417546e-05,5.61342160973264e-05,5.1581023785315385e-05,20.113723164295358
V,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,6.37754470312308
W,6.248474728698158,0.3556281315046607,0.0202403583928467,0.0,0.0,0.0,0.0,0.0,0.0,19.160711319694276
Zn,6.520626493781453,0.7245451138239557,0.08050846379052912,0.0,0.0,0.0,0.0004693092279001561,0.00011636113883515711,2.8850731726705523e-05,7.53085732013519
Zr,6.355174741046668,0.7148097242156115,0.0803995110524761,0.0,0.0,0.0,0.00011488239665784381,7.115313699512237e-05,4.406914419904716e-05,6.446094089810128
