Element,Melting Temperature (C),Measurement Pressure (MPa),Source Link
Ta,2996,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d2d75c4b1c394724a8dbe08f039d3e83
Tb,1360,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6041c127d1a24724b21ff69551e57576
Tc,2200,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=c4a0b09ca0ec42ccbb7e5f4281f6d7aa
Th,1800,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=c29823b5976f4c319cabe0ae8c4075c3
Ti,1660,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=66a15d609a3f4c829cb6ad08f0dafc01
Tl,304,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=00f69978bc284635ae39c34271133bb4
Tm,1545,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=dac0f38bfebc4bac8819a10780ffc31f
U,1132.3,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6311bc909b6a42c8b7a75173245309a4
V,1735,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=2dc2a76245cd4c1caf9aacec8a9bf6dd
W,3370,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=41e0851d2f3c417ba69ea0188fa570e3
Y,1523,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=035b6d47fca54eceaf13a7c1b99a2dfc
Yb,824,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=be5a82bdeb7a45cf80ded0bea2673a6a
Zn,419.58,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=8909140a76074049809ad74d536ed606
Zr,1852,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6e8936b3ad994f13bfb29923cc1506a9
